origin,dest,count,year
14,99,5,2025
15,99,50,2025
17,99,80,2025
18,99,5,2025
2,100,176,2025
3,100,756,2025
4,100,61,2025
7,100,13313,2025
8,100,332,2025
9,100,10926,2025
14,100,614,2025
15,100,15830,2025
16,100,235,2025
17,100,6850,2025
18,100,315,2025
7,101,2938,2025
9,101,1030,2025
7,102,15156,2025
9,102,125,2025
1,103,5,2025
2,103,297,2025
5,103,20,2025
7,103,20278,2025
9,103,7857,2025
15,103,10942,2025
17,103,135,2025
1,104,6945,2025
7,104,100893,2025
8,104,5487,2025
9,104,3015,2025
13,104,1983,2025
14,104,10,2025
1,105,4422,2025
7,105,55013,2025
9,105,15,2025
13,105,183,2025
15,105,4023,2025
18,105,5,2025
1,106,7530,2025
7,106,58499,2025
8,106,354,2025
9,106,461,2025
13,106,1095,2025
14,106,14,2025
18,106,56,2025
1,107,1750,2025
5,107,95,2025
7,107,31186,2025
8,107,50,2025
9,107,80,2025
10,107,475,2025
12,107,10,2025
13,107,665,2025
14,107,25,2025
18,107,150,2025
1,108,8500,2025
6,108,5,2025
7,108,82945,2025
8,108,215,2025
9,108,350,2025
10,108,342,2025
13,108,3270,2025
14,108,205,2025
15,108,90,2025
16,108,125,2025
18,108,90,2025
1,109,6595,2025
5,109,300,2025
6,109,250,2025
7,109,39997,2025
8,109,745,2025
9,109,365,2025
10,109,1879,2025
12,109,15,2025
13,109,2615,2025
14,109,400,2025
18,109,180,2025
1,110,9103,2025
7,110,109856,2025
8,110,18,2025
9,110,362,2025
10,110,5795,2025
13,110,3377,2025
11,111,205,2025
1,112,30,2025
7,112,5,2025
11,112,2000,2025
13,112,5,2025
1,113,485,2025
7,113,1035,2025
11,113,595,2025
13,113,145,2025
14,113,10,2025
7,114,327,2025
9,114,25,2025
11,114,564,2025
15,114,5,2025
1,115,630,2025
2,115,90,2025
3,115,10,2025
5,115,65,2025
7,115,950,2025
11,115,2525,2025
13,115,285,2025
15,115,5,2025
16,115,5,2025
11,116,346,2025
1,117,45791,2025
